иметь,have,had,had
видеть,see,saw,seen
получить,get,got,got
находить,find,found,found
"идти, уходить",go,went,gone
купить,buy,bought,bought
делать,make,made,made
читать,read,read,read
устанавливать,set,set,set
знать,know,knew,known
послать,send,sent,sent
"взять, брать",take,took,taken
показывать,show,showed,shown
думать,think,thought,thought
учить,learn,learnt,learnt
стоить,cost,cost,cost
"говорить, сказать",say,said,said
прийти,come,came,come
"пустить, дать",let,let,let
дать,give,gave,given
продавать,sell,sold,sold
платить,pay,paid,paid
осветить,light,lit,lit
писать,write,wrote,written
"стать, сделаться",become,became,become
хранить,keep,kept,kept
"бежать, течь",run,ran,run
класть,put,put,put
"рассказывать, сказать",tell,told,told
"гнать, ехаь",drive,drove,driven
встретить,meet,met,met
чувствовать,feel,felt,felt
выбрать,choose,chose,chosen
"ускорять,спешить",speed,sped,sped
подразумевать,mean,meant,meant
строить,build,built,built
оставить,leave,left,left
"велеть, просить",bid,bid,bid
вести,lead,led,led
падать,fall,fell,fallen
выиграть,win,won,won
"вскочить, возникнуть",spring,sprang,sprung
иметь дело,deal,dealt,dealt
держать,hold,held,held
кормить,feed,fed,fed
резать,cut,cut,cut
принести,bring,brought,brought
входить,input,input,input
выходить,output,output,output
звонить,ring,rang,rung
"ударить, попасть",hit,hit,hit
"нанизать, натянуть",string,strung,strung
(с)ломать,break,broke,broken
пилить,saw,sawed,sawn
слушать,hear,heard,heard
стоять,stand,stood,stood
начать,begin,began,begun
"грезить, мечтать",dream,dreamt,dreamt
"кинуть, лить металл",cast,cast,cast
родить,bear,bore,born
дуть,blow,blew,blown
говорить,speak,spoke,spoken
сражаться,fight,fought,fought
носить(одежду),wear,wore,worn
предсказывать,forecast,forecast,forecast
подняться,rise,rose,risen
спать,sleep,slept,slept
"пить, выпить",drink,drank,drunk
"кушать, есть",eat,ate,eaten
летать,fly,flew,flown
бить,beat,beat,beaten
прятать(ся),hide,hid,hidden
тратить,spend,spent,spent
расти,grow,grew,grown
ездить верхом,ride,rode,ridden
забыть,forget,forgot,forgotten
распространиться,spread,spread,spread
терять,lose,lost,lost
искать,seek,sought,sought
"мочить, увлажнять",wet,wet,wet
"тащить, риовать",draw,drew,drawn
"уколоть, приклеить",stick,stuck,stuck
скользить,slide,slid,slid
"ловить, поймать",catch,caught,caught
расщепить(ся),split,split,split
сидеть,sit,sat,sat
учить,teach,taught,taught
"распространять, разбрасывать",broadcast,broadcast,broadcast
"ударить, бить, бастовать",strike,struck,struck
"обувать, подковать",shoe,shod,shod
"класть, положить",lay,laid,laid
держать пари,bet,bet,bet
бросить,throw,threw,thrown
"просыпаться, будить",wake,woke,waked
"жечь, гореть",burn,burnt,burnt
лежать,lie,lay,lain
причинить боль,hurt,hurt,hurt
качаться,swing,swung,swung
"стрелять, давать побеги",shoot,shot,shot
"крутиться, вращаться",spin,spun,spun
"закрывать,запирать",shut,shut,shut
петь,sing,sang,sung
"висеть, повесить",hang,hung,hung
"покидать, оставлять",quit,quit,quit
согнуть(ся),bend,bent,bent
плыть,swim,swam,swum
писать или читать по буквам,spell,spelt,spell
"подняться, возникнуть",arise,arose,arisen
"опускаться, погружаться, тонуть",sink,sank,sunk
избавлять,rid,rid,rid
выращивать,breed,bred,bred
копать,dig,dug,dug
трясти,shake,shook,shaken
проливать,shed,shed,shed
связать,bind,bound,bound
"пахнуть, нюхать",smell,smelt,smelt
"опереться, прислониться",lean,leant,leant
украсть,steal,stole,stolen
кусать,bite,bit,bitten
"светить, сиять",shine,shone,shone
рвать,tear,tore,torn
"замерзнуть, замораживать",freeze,froze,frozen
благословлять,bless,blessed,blest
"разразиться, взорваться",burst,burst,burst
вязать,knit,knit,knit
прыгать,leap,leapt,leapt
разжаловать,bust,bust,bust
стараться,strive,strove,striven
пролить,spill,spilt,spilt
"мести, промчаться",sweep,swept,swept
"толкнуть, сунуть",thrust,thrust,thrust
простить,forgive,forgave,forgiven
"сокращаться, сжиматься, отпрянуть",shrink,shrank,shrunk
"будить, проснуться",awake,awoke,awoken
"(по)клясться, присягнуть",swear,swore,sworn
одолжить,lend,lent,lent
ужалить,sting,stung,stung
"точить, молоть",grind,ground,ground
вздуться,swell,swelled,swollen
запретить,forbid,forbade,forbidden
"скрутить, сжать",wring,wrung,wrung
плевать,spit,spat,spat
"обитать, задерживаться",dwell,dwelt,dwelt
кровоточить,bleed,bled,bled
ткать,weave,wove,woven
процветать,thrive,throve,thriven
ползти,creep,crept,crept
шить,sew,sewed,sewn
"бежать, спасаться",flee,fled,fled
"швырять, подвешивать",sling,slung,slung
ступать,tread,trod,trodden
плакать,weep,wept,wept
бросить,fling,flung,flung
"отрицать, противоречить",gainsay,gainsaid,gainsaid
"подымать(ся), подъем",heave,heaved,heaved
"раздирать, отдирать",rend,rent,rent
идти крадучись,slink,slunk,slunk
"раздирать(ся), разрезать (вдоль)",slit,slit,slit
портить,spoil,spoilt,spoilt
вонять,stink,stank,stunk
